Event,X Fixation Data,Y Fixation Data,Timestamp,Valid Left Pupil,Valid Right Pupil,Left Pupil Size,Left Pupil Scale,Right Pupil Size,Right Pupil Scale,Valid Left Gaze,Valid Right Gaze,Left X Gaze,Left Y Gaze,Right X Gaze,Right Y Gaze,Valid Fixation
Begin,191.424,1219.6224,00:00:00:0223,1,1,22.03362,0.99494,22.86898,0.98452,1,1,0.04315,1.39180,0.16373,0.84781,1
Data,192.6336,1210.4856,00:00:00:0230,1,1,22.34258,0.98452,22.83022,0.98452,1,1,0.04386,1.34612,0.16181,0.82777,1
Data,195.9552,1203.606,00:00:00:0237,1,1,22.48203,0.98452,22.93228,0.98452,1,1,0.05202,1.32406,0.16938,0.84113,1
Data,198.3168,1198.692,00:00:00:0244,1,1,22.31504,0.98452,22.77282,0.98452,1,1,0.05202,1.32406,0.16938,0.84113,1
Data,193.0368,1200.2364,00:00:00:0251,1,1,22.54861,0.98452,22.77486,0.98452,1,1,0.00561,1.39520,0.15690,0.84758,1
Data,193.1712,1199.3724,00:00:00:0258,1,1,22.60832,0.98452,22.86062,0.98452,1,1,0.01728,1.38281,0.18510,0.82534,1
Data,190.77120000000002,1199.232,00:00:00:0265,1,1,22.38803,0.98452,22.79838,0.98452,1,1,0.01865,1.39134,0.15382,0.83982,1
Data,190.77120000000002,1199.232,00:00:00:0272,1,1,22.38803,0.98452,22.79838,0.98452,1,1,0.01865,1.39134,0.15382,0.83982,1
Data,194.66879999999998,1198.2276,00:00:00:0279,1,1,22.50238,0.98452,22.89077,0.98452,1,1,0.04410,1.36936,0.18099,0.83935,1
Data,194.66879999999998,1198.2276,00:00:00:0286,1,1,22.50238,0.98452,22.89077,0.98452,1,1,0.04410,1.36936,0.18099,0.83935,1
Data,196.0704,1197.6768,00:00:00:0293,1,1,22.57534,0.98452,22.52942,0.98452,1,1,0.03723,1.36991,0.18253,0.84726,1
Data,196.0704,1197.6768,00:00:00:0300,1,1,22.57534,0.98452,22.52942,0.98452,1,1,0.03723,1.36991,0.18253,0.84726,1
Data,196.76160000000002,1197.6228,00:00:00:0307,1,1,22.57378,0.98452,22.48737,0.99494,1,1,0.03723,1.36991,0.17869,0.84631,1
Data,196.3776,1198.4004,00:00:00:0314,1,1,22.52788,1.00535,22.67453,1.01577,1,1,0.03325,1.37564,0.17239,0.84499,1
Data,196.03199999999998,1198.4112,00:00:00:0321,1,1,22.55229,1.01577,22.99626,1.02619,1,1,0.02919,1.37552,0.16857,0.84402,1
Data,195.09120000000001,1197.7632,00:00:00:0328,1,1,22.70669,1.02619,22.85962,1.02619,1,1,0.01729,1.39440,0.16744,0.80097,1
Data,194.4,1196.7264,00:00:00:0335,1,1,22.72866,1.02619,22.95880,1.02619,1,1,0.02018,1.38426,0.16788,0.79314,1
Data,193.7664,1195.7651999999998,00:00:00:0342,1,1,22.68004,1.02619,23.61899,1.02619,1,1,0.02018,1.38426,0.16788,0.79314,1
Data,191.328,1194.5016,00:00:00:0349,1,1,22.64631,1.02619,23.15442,1.02619,1,1,0.01050,1.33617,0.13297,0.82410,1
Data,188.37120000000002,1194.8472000000002,00:00:00:0356,1,1,22.66274,1.02619,22.92446,1.02619,1,1,-0.00933,1.37143,0.13450,0.85617,1
Data,185.4912,1195.1604,00:00:00:0363,1,1,22.28996,1.03628,22.94053,1.02587,1,1,-0.01352,1.37104,0.13463,0.85619,1
Data,183.2832,1194.8688,00:00:00:0370,1,1,22.34682,1.03596,22.80175,1.02555,1,1,-0.01790,1.36340,0.15164,0.83554,1
Data,181.5168,1194.7392,00:00:00:0377,1,1,22.23119,1.03564,22.80469,1.02522,1,1,-0.01456,1.37202,0.15576,0.83413,1
Data,179.88479999999998,1194.6096,00:00:00:0384,1,1,22.39387,1.03532,22.87994,1.02490,1,1,-0.01442,1.37203,0.15588,0.83417,1
Data,178.0224,1195.02,00:00:00:0391,1,1,22.73754,1.02490,22.88107,1.02490,1,1,-0.01672,1.38148,0.14789,0.85285,1
Data,175.2576,1195.29,00:00:00:0397,1,1,22.78386,1.02490,23.02603,1.02490,1,1,-0.01218,1.37770,0.11126,0.85002,1
Data,172.68480000000002,1195.5384000000001,00:00:00:0404,1,1,22.65286,1.02490,22.79901,1.02490,1,1,-0.01218,1.37770,0.11126,0.85002,1
Data,170.39999999999998,1195.182,00:00:00:0412,1,1,22.94083,1.02490,22.85897,1.02490,1,1,-0.01319,1.38666,0.11733,0.80646,1
End,168.4416,1193.3568,00:00:00:0418,1,1,22.58892,1.02490,22.81839,1.02490,1,1,-0.00012,1.28166,0.11033,0.82018,1
Begin,109.8432,1155.114,00:00:00:0446,1,1,22.86635,1.02490,22.67672,1.02490,1,1,-0.00060,1.30551,0.11482,0.80880,1
Data,109.2288,1154.8332,00:00:00:0453,1,1,22.91920,1.02490,22.66953,1.02490,1,1,-0.00453,1.31404,0.11567,0.82251,1
Data,117.1776,1156.5072,00:00:00:0460,1,1,22.66669,1.02490,22.66986,1.02490,1,1,-0.00860,1.33678,0.15139,0.81266,1
Data,117.1776,1156.5072,00:00:00:0467,1,1,22.66669,1.02490,22.66986,1.02490,1,1,-0.00860,1.33678,0.15139,0.81266,1
Data,119.80799999999999,1159.0776,00:00:00:0474,1,1,22.62579,1.02490,22.65593,1.02490,1,1,-0.01314,1.34098,0.14689,0.81704,1
Data,121.4592,1159.8120000000001,00:00:00:0481,1,1,22.51566,1.01481,22.76921,1.01481,1,1,-0.00894,1.34177,0.15081,0.81832,1
Data,121.68960000000001,1162.4579999999999,00:00:00:0488,1,1,22.61694,1.00471,22.77052,1.00471,1,1,-0.01777,1.38034,0.14698,0.82141,1
Data,122.1312,1165.1796,00:00:00:0495,1,1,22.60129,0.99462,22.84953,0.99462,1,1,-0.01652,1.36726,0.14889,0.84577,1
Data,122.8224,1167.4908,00:00:00:0502,1,1,23.07674,0.98452,22.82088,0.99494,1,1,-0.01213,1.36774,0.14876,0.84574,1
Data,122.3616,1168.8192000000001,00:00:00:0509,1,1,22.98084,0.99494,23.00564,1.00535,1,1,-0.02079,1.37111,0.14188,0.82530,1
Data,120.49919999999999,1171.3139999999999,00:00:00:0516,1,1,22.93298,1.00535,23.00564,1.01577,1,1,-0.02574,1.39780,0.12399,0.83600,1
Data,118.3296,1173.4524,00:00:00:0523,1,1,22.93459,1.01577,23.05116,1.02619,1,1,-0.03033,1.39766,0.11969,0.83486,1
