X Gaze Data,Y Gaze Data,Timestamp
0,0,00:00:01:0000
0,0,00:00:02:0000
0,0,00:00:03:0000
0,0,00:00:04:0000
0,0,00:00:05:0000
0,0,00:00:06:0000
0,0,00:00:07:0000
0,0,00:00:08:0000
0,0,00:00:09:0000
0,0,00:00:10:0000
0,0,00:00:11:0000
0,0,00:00:12:0000
0,0,00:00:13:0000
0,0,00:00:14:0000
0,0,00:00:15:0000
0,0,00:00:16:0000
0,0,00:00:17:0000
0,0,00:00:18:0000
0,0,00:00:19:0000
0,0,00:00:20:0000
0,0,00:00:21:0000
0,0,00:00:22:0000
0,0,00:00:23:0000
0,0,00:00:24:0000
0,0,00:00:25:0000
0,0,00:00:26:0000
0,0,00:00:27:0000
0,0,00:00:28:0000
0,0,00:00:29:0000
0,0,00:00:30:0000
0,0,00:00:31:0000
0,0,00:00:32:0000
0,0,00:00:33:0000
0,0,00:00:34:0000
0,0,00:00:35:0000
0,0,00:00:36:0000
0,0,00:00:37:0000
0,0,00:00:38:0000
0,0,00:00:39:0000
0,0,00:00:40:0000
0,0,00:00:41:0000
0,0,00:00:42:0000
0,0,00:00:43:0000
0,0,00:00:44:0000
0,0,00:00:45:0000
0,0,00:00:46:0000
0,0,00:00:47:0000
0,0,00:00:48:0000
0,0,00:00:49:0000
0,0,00:00:50:0000
0,0,00:00:51:0000
0,0,00:00:52:0000
0,0,00:00:53:0000
0,0,00:00:54:0000
0,0,00:00:55:0000
0,0,00:00:56:0000
0,0,00:00:57:0000
0,0,00:00:58:0000
0,0,00:00:59:0000
0,0,00:01:00:0000
912,0,00:01:01:0161
912,0,00:01:01:0271
913,0,00:01:01:0291
914,0,00:01:01:0420
914,0,00:01:01:0590
913,0,00:01:01:0620
912,0,00:01:01:0759
910,0,00:01:01:0899
909,0,00:01:01:0939
909,0,00:01:01:1099
909,0,00:01:01:1188
910,0,00:01:01:1298
909,0,00:01:01:1418
910,0,00:01:01:1557
910,0,00:01:01:1627
910,0,00:01:01:1747
910,0,00:01:01:1897
910,0,00:01:01:1946
910,0,00:01:01:2086
911,0,00:01:01:2186
911,0,00:01:01:2435
912,0,00:01:01:2555
914,0,00:01:01:2605
917,0,00:01:01:2764
916,0,00:01:01:2864
912,0,00:01:01:2974
862,0,00:01:01:3123
738,73,00:01:01:3243
732,142,00:01:01:3283
681,162,00:01:01:3761
714,194,00:01:01:3951
796,297,00:01:01:3971
799,254,00:01:01:4091
816,220,00:01:01:4240
821,209,00:01:01:4380
838,190,00:01:01:4420
843,183,00:01:01:4639
843,176,00:01:01:4749
844,175,00:01:01:4928
853,160,00:01:01:4968
855,155,00:01:01:5098
856,155,00:01:01:5188
856,153,00:01:01:5317
855,153,00:01:01:5427
853,153,00:01:01:5557
852,154,00:01:01:5606
851,154,00:01:01:5766
851,154,00:01:01:5866
851,155,00:01:01:5936
851,155,00:01:01:6255
851,154,00:01:01:6265
852,153,00:01:01:6594
853,155,00:01:01:6624
853,155,00:01:01:6743
853,154,00:01:01:6863
854,154,00:01:01:6933
855,155,00:01:01:7112
855,155,00:01:01:7332
855,153,00:01:01:7461
854,153,00:01:01:7641
852,152,00:01:01:7761
852,151,00:01:01:7841
852,151,00:01:01:7950
852,150,00:01:01:8090
851,151,00:01:01:8190
850,150,00:01:01:8429
848,151,00:01:01:8519
848,152,00:01:01:8598
848,151,00:01:01:8758
846,149,00:01:01:8838
846,149,00:01:01:8938
847,149,00:01:01:9127
847,149,00:01:01:9167
848,149,00:01:01:9317
850,149,00:01:01:9446
851,149,00:01:01:9586
851,149,00:01:01:9606
851,149,00:01:01:9755
851,148,00:01:01:9835
850,148,00:01:01:9925
850,148,00:01:02:0104
850,149,00:01:02:0304
850,151,00:01:02:0394
851,150,00:01:02:0503
851,150,00:01:02:0613
851,151,00:01:02:0753
852,152,00:01:02:0882
853,153,00:01:02:1082
853,152,00:01:02:1202
851,148,00:01:02:1271
851,145,00:01:02:1411
850,143,00:01:02:1501
851,144,00:01:02:1600
852,146,00:01:02:1890
851,145,00:01:02:1969
851,145,00:01:02:1990
851,145,00:01:02:2109
850,145,00:01:02:2279
850,146,00:01:02:2299
848,147,00:01:02:2458
848,148,00:01:02:2568
847,147,00:01:02:2648
848,147,00:01:02:2717
848,147,00:01:02:2887
847,148,00:01:02:2977
847,150,00:01:02:3126
848,150,00:01:02:3186
848,150,00:01:02:3276
849,152,00:01:02:3416
848,153,00:01:02:3545
848,153,00:01:02:3775
848,152,00:01:02:3835
848,152,00:01:02:3934
848,151,00:01:02:4064
850,152,00:01:02:4164
850,152,00:01:02:4263
851,151,00:01:02:4423
851,151,00:01:02:4523
851,150,00:01:02:4592
853,150,00:01:02:4762
852,150,00:01:02:4902
851,150,00:01:02:4971
849,150,00:01:02:5101
848,150,00:01:02:5271
848,150,00:01:02:5281
848,150,00:01:02:5400
848,151,00:01:02:5650
848,150,00:01:02:5749
847,150,00:01:02:5839
848,149,00:01:02:5959
849,148,00:01:02:6059
849,147,00:01:02:6188
852,147,00:01:02:6258
852,147,00:01:02:6437
851,147,00:01:02:6517
851,147,00:01:02:6597
852,148,00:01:02:6747
852,148,00:01:02:6886
852,149,00:01:02:6926
852,149,00:01:02:7265
853,150,00:01:02:7275
854,151,00:01:02:7545
851,151,00:01:02:7634
851,151,00:01:02:7774
852,151,00:01:02:7943
852,151,00:01:02:7963
852,151,00:01:02:8123
853,151,00:01:02:8183
853,151,00:01:02:8253
853,151,00:01:02:8422
853,153,00:01:02:8492
853,153,00:01:02:8622
855,153,00:01:02:8731
855,153,00:01:02:8871
855,154,00:01:02:8931
858,156,00:01:02:9090
859,156,00:01:02:9170
860,156,00:01:02:9410
862,157,00:01:02:9519
862,157,00:01:02:9599
862,157,00:01:02:9739
861,157,00:01:02:9838
861,157,00:01:02:9938
863,157,00:01:03:0247
862,158,00:01:03:0267
862,158,00:01:03:0417
862,158,00:01:03:0557
861,158,00:01:03:0606
861,158,00:01:03:0756
862,159,00:01:03:0896
863,159,00:01:03:0935
863,160,00:01:03:1095
864,161,00:01:03:1295
864,163,00:01:03:1295
865,164,00:01:03:1384
865,164,00:01:03:1634
864,166,00:01:03:1733
864,167,00:01:03:1913
864,167,00:01:03:1953
864,168,00:01:03:2072
863,169,00:01:03:2192
863,168,00:01:03:2272
863,168,00:01:03:2461
862,168,00:01:03:2601
862,167,00:01:03:2761
863,167,00:01:03:2820
863,167,00:01:03:2930
863,167,00:01:03:3110
861,165,00:01:03:3170
861,165,00:01:03:3259
862,166,00:01:03:3439
863,167,00:01:03:3559
863,167,00:01:03:3618
863,168,00:01:03:3927
863,168,00:01:03:3947
863,167,00:01:03:3947
862,167,00:01:03:4077
862,167,00:01:03:4257
862,166,00:01:03:4257
862,165,00:01:03:4426
863,162,00:01:03:4646
863,161,00:01:03:4765
864,161,00:01:03:4865
864,161,00:01:03:4945
865,161,00:01:03:5055
865,161,00:01:03:5154
865,162,00:01:03:5284
865,163,00:01:03:5404
866,165,00:01:03:5523
866,165,00:01:03:5753
866,166,00:01:03:5842
866,166,00:01:03:6082
866,166,00:01:03:6192
865,167,00:01:03:6281
865,169,00:01:03:6401
866,169,00:01:03:6570
867,169,00:01:03:6620
867,169,00:01:03:6790
867,171,00:01:03:6939
867,172,00:01:03:6949
866,173,00:01:03:7079
865,173,00:01:03:7219
865,173,00:01:03:7269
