X Gaze Data,Y Gaze Data,Timestamp
585,792,00:00:00:0409
585,794,00:00:00:0458
586,793,00:00:00:0548
586,793,00:00:00:0668
584,793,00:00:00:0787
584,793,00:00:00:0887
584,794,00:00:00:1136
587,798,00:00:00:1206
587,798,00:00:00:1326
587,799,00:00:00:1456
588,800,00:00:00:1556
589,799,00:00:00:1645
588,800,00:00:00:1785
587,803,00:00:00:1934
571,805,00:00:00:1994
570,805,00:00:00:2263
406,814,00:00:00:2263
310,819,00:00:00:2313
261,827,00:00:00:2453
251,828,00:00:00:2583
243,829,00:00:00:2652
233,831,00:00:00:2782
206,835,00:00:00:2872
157,846,00:00:00:3011
145,848,00:00:00:3111
142,848,00:00:00:3241
142,848,00:00:00:3331
143,849,00:00:00:3430
143,849,00:00:00:3560
143,850,00:00:00:3799
143,851,00:00:00:3929
145,854,00:00:00:3989
144,855,00:00:00:4118
132,865,00:00:00:4208
48,938,00:00:00:4318
38,949,00:00:00:4438
33,954,00:00:00:4607
28,958,00:00:00:4647
23,960,00:00:00:4936
16,959,00:00:00:4976
14,959,00:00:00:5126
15,959,00:00:00:5266
18,961,00:00:00:5315
18,962,00:00:00:5465
18,962,00:00:00:5684
14,963,00:00:00:5774
13,963,00:00:00:5884
13,963,00:00:00:6013
13,963,00:00:00:6123
13,961,00:00:00:6243
12,961,00:00:00:6323
10,963,00:00:00:6442
9,963,00:00:00:6562
11,963,00:00:00:6642
12,963,00:00:00:6791
12,963,00:00:00:6891
11,963,00:00:00:6991
10,964,00:00:00:7111
11,964,00:00:00:7210
22,964,00:00:00:7320
48,962,00:00:00:7440
157,941,00:00:00:7519
341,907,00:00:00:7629
871,775,00:00:00:9005
899,770,00:00:00:9115
906,763,00:00:00:9205
903,760,00:00:00:9315
920,740,00:00:00:9454
913,745,00:00:00:9534
911,746,00:00:00:9803
916,739,00:00:00:9873
919,731,00:00:00:9983
932,714,00:00:01:0122
941,702,00:00:01:0212
941,702,00:00:01:0322
937,701,00:00:01:0481
938,701,00:00:01:0631
939,702,00:00:01:0651
940,701,00:00:01:0801
958,693,00:00:01:0920
1085,633,00:00:01:0980
1089,631,00:00:01:1100
1091,630,00:00:01:1210
1092,629,00:00:01:1399
1095,628,00:00:01:1439
1099,625,00:00:01:1559
1100,624,00:00:01:1678
1100,623,00:00:01:1768
1100,623,00:00:01:1918
1099,623,00:00:01:1997
1100,622,00:00:01:2117
1100,621,00:00:01:2267
1101,619,00:00:01:2476
1103,614,00:00:01:2536
1104,614,00:00:01:2666
1105,610,00:00:01:2805
1107,602,00:00:01:2865
1109,594,00:00:01:2975
1110,592,00:00:01:3134
1111,589,00:00:01:3294
1114,588,00:00:01:3334
1114,587,00:00:01:3633
1114,586,00:00:01:3643
1114,586,00:00:01:3793
1115,583,00:00:01:3962
1115,582,00:00:01:3982
1115,584,00:00:01:4142
1114,586,00:00:01:4351
1112,585,00:00:01:4441
1111,585,00:00:01:4541
1111,585,00:00:01:4660
1111,584,00:00:01:4780
1109,585,00:00:01:4920
1109,584,00:00:01:5149
1106,583,00:00:01:5329
1097,580,00:00:01:5398
1071,579,00:00:01:5648
1067,579,00:00:01:5668
1065,579,00:00:01:5688
1064,578,00:00:01:5797
1064,577,00:00:01:5867
1064,574,00:00:01:5977
1063,573,00:00:01:6286
1059,574,00:00:01:6306
1059,574,00:00:01:6436
1058,574,00:00:01:6585
1058,575,00:00:01:6645
1058,575,00:00:01:6765
1058,574,00:00:01:7014
1056,573,00:00:01:7094
1055,573,00:00:01:7233
1056,572,00:00:01:7303
1056,573,00:00:01:7463
1057,573,00:00:01:7652
1056,573,00:00:01:7672
1056,573,00:00:01:7862
1055,573,00:00:01:7932
1054,573,00:00:01:7971
1054,573,00:00:01:8131
1055,572,00:00:01:8281
1055,572,00:00:01:8310
1055,573,00:00:01:8440
1056,576,00:00:01:8630
1056,576,00:00:01:8670
1056,576,00:00:01:8779
1055,577,00:00:01:8949
1055,579,00:00:01:8969
1053,578,00:00:01:9128
1053,575,00:00:01:9348
1056,573,00:00:01:9418
1056,573,00:00:01:9537
1054,574,00:00:01:9667
1054,574,00:00:01:9737
1054,574,00:00:01:9866
1053,574,00:00:01:9976
1052,575,00:00:02:0076
1051,575,00:00:02:0205
1051,577,00:00:02:0505
1051,579,00:00:02:0564
1050,579,00:00:02:0644
1050,578,00:00:02:0784
1050,579,00:00:02:0914
1050,580,00:00:02:0973
1051,579,00:00:02:1103
1052,580,00:00:02:1243
1052,580,00:00:02:1312
1051,580,00:00:02:1462
1047,578,00:00:02:1562
1034,574,00:00:02:1642
1032,571,00:00:02:1771
874,454,00:00:02:2001
651,283,00:00:02:2100
643,276,00:00:02:2210
632,267,00:00:02:2320
610,248,00:00:02:2460
601,238,00:00:02:2529
589,227,00:00:02:2669
588,226,00:00:02:2818
588,224,00:00:02:2928
588,224,00:00:02:2988
589,227,00:00:02:3098
589,227,00:00:02:3197
588,228,00:00:02:3317
588,229,00:00:02:3437
588,230,00:00:02:3577
588,231,00:00:02:3636
588,232,00:00:02:3796
588,233,00:00:02:3896
587,235,00:00:02:3975
586,237,00:00:02:4095
586,237,00:00:02:4225
586,238,00:00:02:4324
586,238,00:00:02:4424
587,238,00:00:02:4524
589,242,00:00:02:4634
589,242,00:00:02:4763
589,242,00:00:02:4893
589,243,00:00:02:5132
588,247,00:00:02:5152
588,247,00:00:02:5262
587,247,00:00:02:5322
587,247,00:00:02:5471
588,247,00:00:02:5601
587,247,00:00:02:5681
587,246,00:00:02:5820
587,246,00:00:02:5980
551,236,00:00:02:5990
546,234,00:00:02:6120
398,157,00:00:02:6299
348,129,00:00:02:6319
342,126,00:00:02:6469
337,123,00:00:02:6579
330,120,00:00:02:6638
327,118,00:00:02:6788
295,100,00:00:02:7117
287,92,00:00:02:7147
287,91,00:00:02:7177
287,92,00:00:02:7466
287,91,00:00:02:7516
287,91,00:00:02:7646
287,91,00:00:02:7785
288,91,00:00:02:7855
288,92,00:00:02:7975
290,94,00:00:02:8124
291,94,00:00:02:8274
331,95,00:00:02:8294
430,98,00:00:02:8633
451,98,00:00:02:8802
463,98,00:00:02:8852
472,97,00:00:02:8852
481,97,00:00:02:8942
489,97,00:00:02:8972
505,97,00:00:02:9122
518,97,00:00:02:9191
517,97,00:00:02:9471
517,97,00:00:02:9481
519,100,00:00:02:9541
519,99,00:00:02:9660
521,100,00:00:02:9780
521,101,00:00:02:9860
521,101,00:00:03:0149
520,101,00:00:03:0159
519,101,00:00:03:0189
517,100,00:00:03:0468
516,99,00:00:03:0518
517,99,00:00:03:0787
517,101,00:00:03:0907
511,101,00:00:03:0967
491,96,00:00:03:1126
490,95,00:00:03:1286
480,91,00:00:03:1316
477,90,00:00:03:1605
469,88,00:00:03:1625
461,84,00:00:03:1775
457,83,00:00:03:1914
458,83,00:00:03:1994
457,82,00:00:03:2134
457,80,00:00:03:2293
456,79,00:00:03:2303
455,78,00:00:03:2473
455,78,00:00:03:2572
453,76,00:00:03:2642
452,75,00:00:03:2782
451,74,00:00:03:2842
451,73,00:00:03:3121
449,73,00:00:03:3181
445,72,00:00:03:3450
426,75,00:00:03:3510
415,74,00:00:03:3639
409,73,00:00:03:3769
393,74,00:00:03:3849
389,74,00:00:03:3969
387,74,00:00:03:4228
371,69,00:00:03:4298
361,63,00:00:03:4457
352,56,00:00:03:4617
345,52,00:00:03:4776
338,46,00:00:03:4786
338,46,00:00:03:4956
331,41,00:00:03:5006
328,38,00:00:03:5145
328,38,00:00:03:5265
332,40,00:00:03:5305
339,44,00:00:03:5445
339,44,00:00:03:5514
352,51,00:00:03:5634
356,54,00:00:03:5774
357,54,00:00:03:5844
360,56,00:00:03:6133
368,58,00:00:03:6173
366,57,00:00:03:6292
367,57,00:00:03:6452
364,55,00:00:03:6552
364,54,00:00:03:6641
362,49,00:00:03:6781
361,49,00:00:03:6861
356,45,00:00:03:6961
346,38,00:00:03:7270
325,20,00:00:03:7340
316,16,00:00:03:7449
317,16,00:00:03:7509
322,19,00:00:03:7759
348,38,00:00:03:7759
373,55,00:00:03:7938
476,118,00:00:03:7988
503,329,00:00:03:8108
1102,1078,00:00:03:8965
1213,1154,00:00:03:9115
1110,1038,00:00:03:9175
989,790,00:00:03:9284
948,782,00:00:03:9454
916,765,00:00:03:9534
940,710,00:00:03:9633
950,692,00:00:03:9783
953,685,00:00:03:9943
952,677,00:00:03:9953
953,666,00:00:04:0112
969,630,00:00:04:0262
964,607,00:00:04:0441
976,590,00:00:04:0451
985,576,00:00:04:0661
979,566,00:00:04:0771
978,565,00:00:04:0870
981,567,00:00:04:1010
980,565,00:00:04:1080
984,569,00:00:04:1269
984,570,00:00:04:1449
982,567,00:00:04:1598
982,567,00:00:04:1638
982,567,00:00:04:1758
983,566,00:00:04:1848
983,566,00:00:04:1977
982,565,00:00:04:2097
981,565,00:00:04:2266
983,564,00:00:04:2296
983,564,00:00:04:2596
983,563,00:00:04:2656
982,562,00:00:04:2765
981,560,00:00:04:2935
979,558,00:00:04:2975
979,558,00:00:04:3094
979,558,00:00:04:3314
979,559,00:00:04:3453
978,559,00:00:04:3543
978,559,00:00:04:3643
979,560,00:00:04:3772
979,560,00:00:04:3842
979,559,00:00:04:4121
979,559,00:00:04:4181
981,558,00:00:04:4291
983,559,00:00:04:4431
984,559,00:00:04:4510
984,560,00:00:04:4620
985,562,00:00:04:4929
986,565,00:00:04:4959
986,565,00:00:04:5228
985,570,00:00:04:5308
985,570,00:00:04:5428
973,581,00:00:04:5538
904,641,00:00:04:5627
723,788,00:00:04:5727
506,962,00:00:04:6006
479,987,00:00:04:6076
468,995,00:00:04:6236
438,1019,00:00:04:6336
406,1044,00:00:04:6465
384,1064,00:00:04:6545
366,1081,00:00:04:6804
358,1086,00:00:04:6904
357,1087,00:00:04:7123
357,1084,00:00:04:7173
357,1083,00:00:04:7293
356,1083,00:00:04:7433
356,1083,00:00:04:7502
356,1084,00:00:04:7622
357,1084,00:00:04:7911
356,1084,00:00:04:7921
355,1085,00:00:04:7982
355,1085,00:00:04:8107
354,1086,00:00:04:8258
353,1087,00:00:04:8298
353,1087,00:00:04:8427
351,1088,00:00:04:8647
351,1088,00:00:04:8816
351,1088,00:00:04:8836
351,1088,00:00:04:8966
350,1088,00:00:04:9076
349,1089,00:00:04:9175
349,1089,00:00:04:9445
349,1089,00:00:04:9505
348,1092,00:00:04:9634
347,1092,00:00:04:9754
348,1093,00:00:04:9834
348,1092,00:00:04:9953
343,1096,00:00:05:0113
251,1162,00:00:05:0173
167,1231,00:00:05:0302
157,1240,00:00:05:0432
146,1250,00:00:05:0602
138,1257,00:00:05:0651
131,1264,00:00:05:0761
130,1267,00:00:05:0911
131,1267,00:00:05:0971
129,1273,00:00:05:1130
130,1275,00:00:05:1330
131,1278,00:00:05:1449
132,1276,00:00:05:1609
131,1275,00:00:05:1659
130,1275,00:00:05:1779
131,1275,00:00:05:1908
131,1275,00:00:05:1968
131,1275,00:00:05:2088
131,1275,00:00:05:2177
131,1275,00:00:05:2457
131,1276,00:00:05:2556
133,1277,00:00:05:2616
133,1276,00:00:05:2766
133,1276,00:00:05:2846
134,1276,00:00:05:2985
134,1275,00:00:05:3155
134,1274,00:00:05:3364
130,1274,00:00:05:3364
123,1273,00:00:05:3594
106,1268,00:00:05:3614
105,1268,00:00:05:3733
101,1267,00:00:05:3953
97,1267,00:00:05:3973
97,1267,00:00:05:4102
96,1266,00:00:05:4172
95,1266,00:00:05:4292
94,1267,00:00:05:4431
93,1269,00:00:05:4651
93,1269,00:00:05:4780
92,1267,00:00:05:4830
92,1267,00:00:05:4980
91,1268,00:00:05:5129
92,1269,00:00:05:5279
92,1270,00:00:05:5439
91,1274,00:00:05:5508
91,1274,00:00:05:5628
91,1275,00:00:05:5768
90,1276,00:00:05:5967
90,1276,00:00:05:6047
89,1276,00:00:05:6127
89,1276,00:00:05:6217
88,1273,00:00:05:6286
87,1273,00:00:05:6576
86,1272,00:00:05:6625
85,1272,00:00:05:6765
85,1271,00:00:05:6925
85,1271,00:00:05:6975
85,1272,00:00:05:7104
84,1273,00:00:05:7423
80,1272,00:00:05:7453
77,1271,00:00:05:7523
75,1271,00:00:05:7643
73,1271,00:00:05:7802
72,1272,00:00:05:7832
72,1272,00:00:05:7962
72,1272,00:00:05:8112
70,1272,00:00:05:8171
70,1271,00:00:05:8441
70,1270,00:00:05:8500
70,1270,00:00:05:8630
70,1270,00:00:05:8900
66,1271,00:00:05:8989
69,1270,00:00:05:9258
113,1266,00:00:05:9278
1198,1199,00:00:06:0485
1253,1215,00:00:06:0615
1239,1228,00:00:06:0745
1240,1238,00:00:06:0834
1245,1242,00:00:06:1113
1259,1234,00:00:06:1113
1264,1229,00:00:06:1163
1268,1218,00:00:06:1433
1272,1200,00:00:06:1473
1283,1190,00:00:06:1492
1288,1188,00:00:06:1612
1299,1186,00:00:06:1951
1461,1218,00:00:06:1961
1477,1219,00:00:06:2101
1538,1232,00:00:06:2161
1571,1238,00:00:06:2280
1608,1246,00:00:06:2390
1683,1269,00:00:06:2500
1707,1276,00:00:06:2600
1708,1277,00:00:06:2789
1710,1279,00:00:06:2959
1708,1276,00:00:06:3068
1707,1278,00:00:06:3168
1706,1278,00:00:06:3288
1704,1279,00:00:06:3447
1701,1279,00:00:06:3487
1703,1279,00:00:06:3786
1702,1278,00:00:06:3986
1702,1278,00:00:06:3996
1703,1276,00:00:06:4275
1705,1276,00:00:06:4275
1705,1275,00:00:06:4425
1705,1275,00:00:06:4604
1705,1275,00:00:06:4624
1704,1274,00:00:06:4943
1703,1274,00:00:06:4953
1701,1272,00:00:06:5093
1701,1271,00:00:06:5173
1700,1269,00:00:06:5282
1702,1270,00:00:06:5432
1717,1270,00:00:06:5641
1835,1260,00:00:06:5741
1875,1252,00:00:06:5831
1911,1245,00:00:06:5961
1930,1241,00:00:06:6110
1963,1234,00:00:06:6160
1997,1225,00:00:06:6459
2161,1183,00:00:06:6529
2159,1182,00:00:06:6634
2160,1183,00:00:06:6759
2160,1183,00:00:06:6959
2163,1182,00:00:06:6989
2164,1182,00:00:06:7248
2164,1182,00:00:06:7278
2164,1180,00:00:06:7468
2163,1180,00:00:06:7547
2163,1180,00:00:06:7647
2164,1179,00:00:06:7817
2163,1179,00:00:06:7837
2164,1179,00:00:06:7946
2161,1178,00:00:06:8106
2160,1178,00:00:06:8325
2160,1177,00:00:06:8405
2160,1177,00:00:06:8495
2159,1177,00:00:06:8625
2167,1173,00:00:06:8744
2180,1172,00:00:06:8824
2300,1086,00:00:07:0609
2300,1086,00:00:07:0719
2300,1086,00:00:07:0968
2294,985,00:00:07:1487
2254,634,00:00:07:1627
2245,572,00:00:07:1736
2231,490,00:00:07:1826
2225,450,00:00:07:1956
2224,439,00:00:07:2095
2228,451,00:00:07:2155
2227,444,00:00:07:2275
2229,447,00:00:07:2415
2235,458,00:00:07:2594
2242,474,00:00:07:2634
2242,477,00:00:07:2714
2241,480,00:00:07:2833
2239,480,00:00:07:2933
2241,490,00:00:07:3222
2237,490,00:00:07:3272
2234,492,00:00:07:3282
2232,492,00:00:07:3422
2223,495,00:00:07:3502
2220,496,00:00:07:3611
2223,495,00:00:07:3731
2226,499,00:00:07:3821
2129,236,00:00:07:3980
2125,224,00:00:07:4100
2120,211,00:00:07:4150
2118,204,00:00:07:4299
2114,190,00:00:07:4409
2113,181,00:00:07:4489
2112,175,00:00:07:4639
2109,159,00:00:07:4738
2110,154,00:00:07:4838
2118,154,00:00:07:4968
2119,153,00:00:07:5137
2120,152,00:00:07:5147
2124,149,00:00:07:5416
2128,147,00:00:07:5486
2128,146,00:00:07:5606
2122,147,00:00:07:5746
1297,757,00:00:07:6643
1219,817,00:00:07:6743
1101,787,00:00:07:6823
927,707,00:00:07:6972
946,697,00:00:07:7062
979,667,00:00:07:7152
1002,648,00:00:07:7441
1010,622,00:00:07:7481
1010,603,00:00:07:7620
1008,594,00:00:07:7790
1008,550,00:00:07:7830
1009,549,00:00:07:7950
1006,536,00:00:07:8149
1004,526,00:00:07:8269
1003,525,00:00:07:8289
1004,524,00:00:07:8578
998,521,00:00:07:8598
999,522,00:00:07:8837
999,522,00:00:07:8937
999,522,00:00:07:9067
1000,521,00:00:07:9316
1000,520,00:00:07:9386
1000,520,00:00:07:9645
1000,521,00:00:07:9735
999,524,00:00:07:9825
998,524,00:00:07:9964
997,525,00:00:08:0074
993,523,00:00:08:0144
985,520,00:00:08:0443
928,526,00:00:08:0483
910,526,00:00:08:0752
896,525,00:00:08:0812
888,526,00:00:08:0932
868,528,00:00:08:1091
868,527,00:00:08:1151
866,526,00:00:08:1271
866,528,00:00:08:1410
865,528,00:00:08:1570
863,527,00:00:08:1610
862,527,00:00:08:1739
863,527,00:00:08:1909
863,528,00:00:08:1949
861,527,00:00:08:2079
859,527,00:00:08:2268
859,527,00:00:08:2318
859,527,00:00:08:2398
859,527,00:00:08:2996
857,524,00:00:08:3006
